height,id,birthday,player_fifa_id,player_id,weight,player_name
182.88,1,1992-02-29 00:00:00,218353,505942,187,Aaron Appindangoye
170.18,2,1989-12-15 00:00:00,189615,155782,146,Aaron Cresswell
170.18,3,1991-05-13 00:00:00,186170,162549,163,Aaron Doran
182.88,4,1982-05-08 00:00:00,140161,30572,198,Aaron Galindo
182.88,5,1979-11-08 00:00:00,17725,23780,154,Aaron Hughes
182.88,6,1986-09-04 00:00:00,158138,27316,161,Aaron Hunt
172.72,7,1996-01-30 00:00:00,221280,564793,146,Aaron Kuhl
165.1,8,1987-04-16 00:00:00,152747,30895,139,Aaron Lennon
190.5,9,1993-02-19 00:00:00,206592,528212,181,Aaron Lennox
175.26,10,1987-10-28 00:00:00,188621,101042,170,Aaron Meijers
182.88,11,1980-11-25 00:00:00,47189,23889,181,Aaron Mokoena
175.26,12,1990-09-15 00:00:00,194958,231592,150,Aaron Mooy
187.96,13,1990-08-30 00:00:00,213568,163222,168,Aaron Muirhead
170.18,14,1989-04-26 00:00:00,183853,40719,143,Aaron Niguez
177.8,15,1990-12-26 00:00:00,186561,75489,154,Aaron Ramsey
172.72,16,1996-10-13 00:00:00,226014,597948,163,Aaron Splaine
182.88,17,1991-04-08 00:00:00,213569,161644,176,Aaron Taylor-Sinclair
190.5,18,1979-10-21 00:00:00,2335,23499,159,Aaron Wilbraham
175.26,19,1986-07-02 00:00:00,187939,120919,150,Aatif Chahechouhe
187.96,20,1976-07-12 00:00:00,156626,46447,185,Abasse Ba
177.8,21,1989-06-19 00:00:00,192274,167027,161,Abdelaziz Barrada
0, f, 22, nan, df, a, 161, 11
185.42,22,1986-10-22 00:00:00,202425,245653,161,Abdelfettah Boukhriss
180.34,23,1990-03-17 00:00:00,188145,128456,161,Abdelhamid El Kaoutari
182.88,24,1984-12-05 00:00:00,178063,42664,172,Abdelkader Ghezzal
180.34,25,1991-12-05 00:00:00,212934,425950,161,Abdellah Zoubir
172.72,26,1978-09-12 00:00:00,52782,38423,143,Abdelmajid Oulmers
185.42,27,1981-01-14 00:00:00,51868,3264,165,Abdelmalek Cherrad
180.34,28,1994-02-09 00:00:00,209399,467485,159,Abdelmalek El Hasnaoui
182.88,29,1986-10-01 00:00:00,210504,306735,170,Abdelouahed Chakhsi
177.8,30,1983-06-01 00:00:00,149241,41659,157,Abderrazak Jadid
190.5,31,1978-11-01 00:00:00,33022,31684,181,Abdeslam Ouaddou
187.96,32,1985-01-28 00:00:00,177295,32637,179,Abdessalam Benjelloun
182.88,33,1996-05-04 00:00:00,225711,563215,159,Abdou Diallo
180.34,34,1988-01-17 00:00:00,187048,41093,174,Abdou Traore
200.66,35,1994-02-08 00:00:00,225050,564712,212,Abdoul Ba
182.88,36,1988-10-25 00:00:00,188232,67334,161,Abdoul Karim Yoda
177.8,37,1990-02-20 00:00:00,193953,173955,157,Abdoul Razzagui Camara
182.88,38,1984-03-09 00:00:00,161999,39562,157,Abdoulay Konko
198.12,39,1991-01-01 00:00:00,204826,191784,174,Abdoulaye Ba
182.88,40,1990-04-25 00:00:00,199313,210400,150,Abdoulaye Bamba
172.72,41,1991-05-21 00:00:00,202330,201915,154,Abdoulaye Diaby
182.88,42,1990-12-28 00:00:00,204171,194479,168,"Abdoulaye Diallo Sadio,22"
187.96,43,1992-03-30 00:00:00,197233,189181,174,Abdoulaye Diallo
182.88,44,1993-01-01 00:00:00,208135,352887,165,Abdoulaye Doucoure
187.96,45,1978-02-26 00:00:00,100329,40005,218,Abdoulaye Faye
175.26,46,1994-01-05 00:00:00,212280,409003,165,Abdoulaye Keita
185.42,47,1980-10-06 00:00:00,41745,37280,181,Abdoulaye Meite
187.96,48,1994-03-03 00:00:00,210450,439366,170,Abdoulaye Toure
