Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
dm-csv-001,SQL-new-SELECT,failParse,failParse,failParse,,,,,,,,,,,,,,,,
dm-csv-002,Bash-new-head,Bash-new-head,Bash-new-ls,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,Bash-new-head,,
dm-csv-003,Python-new,failParse,failParse,failParse,,,,,,,,,,,,,,,,
dm-csv-004,Python-new,failParse,failParse,failParse,,,,,,,,,,,,,,,,
dm-csv-006,Python-new,Bash-new-ls,Bash-new-cat,failParse,failParse,failParse,,,,,,,,,,,,,,
dm-csv-007,Bash-new-ls,failParse,Bash-new-ls,failParse,failParse,,,,,,,,,,,,,,,
dm-csv-008,Bash-new-head,Bash-new-touch,Bash-new-cat,Bash-new-cat,Bash-new-echo,Bash-new-cat,Bash-new-grep,Bash-new-grep,Bash-new-cat,Bash-new-diff,Bash-new-touch,Bash-new-cat,Bash-new-cat,Bash-new-echo,Bash-new-cat,Bash-new-diff,Bash-new-cat,Bash-new-diff,Bash-new-cat,Bash-new-diff
dm-csv-009,Python-new,failParse,failParse,failParse,,,,,,,,,,,,,,,,
dm-csv-010,Bash-new-cat,Bash-new-ls,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat,Bash-new-ls,Bash-new-cat
dm-csv-011,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls,SQL-new-SELECT,Bash-new-ls
dm-csv-012,Bash-new-ls,Bash-new-head,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort,Bash-new-sort
dm-csv-013,Bash-new-ls,Bash-new-cat,Bash-new-cat,failParse,failParse,failParse,,,,,,,,,,,,,,
dm-csv-014,Python-new,Python-debug,Python-new,,,,,,,,,,,,,,,,,
dm-csv-015,Bash-new-cat,failParse,failParse,failParse,,,,,,,,,,,,,,,,
dm-csv-016,Python-new,Python-debug,Python-new,Python-new,Python-new,Python-new,Python-debug,Python-new,,,,,,,,,,,,
dm-csv-017,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat,Bash-new-cat
dm-csv-018,SQL-new-CREATE,Bash-new-ls,Bash-new-ls,Bash-new-ls,Bash-new-find,Bash-new-ls,Bash-new-find,Bash-new-ls,Bash-new-find,Bash-new-ls,Bash-new-find,Bash-new-ls,Bash-new-find,Bash-new-ls,Bash-new-find,Bash-new-ls,Bash-new-find,Bash-new-ls,Bash-new-find,Bash-new-ls
dm-csv-019,Python-new,Python-debug,Python-debug,Python-new,Python-new,,,,,,,,,,,,,,,
dm-csv-020,Python-new,Bash-new-ls,Bash-new-find,failParse,failParse,failParse,,,,,,,,,,,,,,
