player_id,year,game_num,game_id,team_id,league_id,gp,starting_pos
gomezle01,1933,0,ALS193307060,NYA,AL,1.0,1.0
ferreri01,1933,0,ALS193307060,BOS,AL,1.0,2.0
gehrilo01,1933,0,ALS193307060,NYA,AL,1.0,3.0
gehrich01,1933,0,ALS193307060,DET,AL,1.0,4.0
dykesji01,1933,0,ALS193307060,CHA,AL,1.0,5.0
cronijo01,1933,0,ALS193307060,WS1,AL,1.0,6.0
chapmbe01,1933,0,ALS193307060,NYA,AL,1.0,7.0
simmoal01,1933,0,ALS193307060,CHA,AL,1.0,8.0
ruthba01,1933,0,ALS193307060,NYA,AL,1.0,9.0
averiea01,1933,0,ALS193307060,CLE,AL,1.0,
crowdal01,1933,0,ALS193307060,WS1,AL,1.0,
dickebi01,1933,0,ALS193307060,NYA,AL,0.0,
ferrewe01,1933,0,ALS193307060,CLE,AL,0.0,
foxxji01,1933,0,ALS193307060,PHA,AL,0.0,
grovele01,1933,0,ALS193307060,PHA,AL,1.0,
hildeor01,1933,0,ALS193307060,CLE,AL,0.0,
lazzeto01,1933,0,ALS193307060,NYA,AL,0.0,
westsa01,1933,0,ALS193307060,SLA,AL,1.0,
hallabi01,1933,0,ALS193307060,SLN,NL,1.0,1.0
wilsoji01,1933,0,ALS193307060,SLN,NL,1.0,2.0
terrybi01,1933,0,ALS193307060,NY1,NL,1.0,3.0
friscfr01,1933,0,ALS193307060,SLN,NL,1.0,4.0
martipe01,1933,0,ALS193307060,SLN,NL,1.0,5.0
bartedi01,1933,0,ALS193307060,PHI,NL,1.0,6.0
hafeych01,1933,0,ALS193307060,CIN,NL,1.0,7.0
bergewa01,1933,0,ALS193307060,BSN,NL,1.0,8.0
kleinch01,1933,0,ALS193307060,PHI,NL,1.0,9.0
cuccito01,1933,0,ALS193307060,BRO,NL,1.0,
engliwo01,1933,0,ALS193307060,CHN,NL,1.0,
hartnga01,1933,0,ALS193307060,CHN,NL,1.0,
hubbeca01,1933,0,ALS193307060,NY1,NL,1.0,
odoulle01,1933,0,ALS193307060,NY1,NL,1.0,
schumha02,1933,0,ALS193307060,NY1,NL,0.0,
traynpi01,1933,0,ALS193307060,PIT,NL,1.0,
wanerpa01,1933,0,ALS193307060,PIT,NL,1.0,
warnelo01,1933,0,ALS193307060,CHN,NL,1.0,
gomezle01,1934,0,NLS193407100,NYA,AL,1.0,1.0
dickebi01,1934,0,NLS193407100,NYA,AL,1.0,2.0
gehrilo01,1934,0,NLS193407100,NYA,AL,1.0,3.0
gehrich01,1934,0,NLS193407100,DET,AL,1.0,4.0
foxxji01,1934,0,NLS193407100,PHA,AL,1.0,5.0
cronijo01,1934,0,NLS193407100,WS1,AL,1.0,6.0
manushe01,1934,0,NLS193407100,WS1,AL,1.0,7.0
simmoal01,1934,0,NLS193407100,CHA,AL,1.0,8.0
ruthba01,1934,0,NLS193407100,NYA,AL,1.0,9.0
averiea01,1934,0,NLS193407100,CLE,AL,1.0,
bridgto01,1934,0,NLS193407100,DET,AL,0.0,
chapmbe01,1934,0,NLS193407100,NYA,AL,1.0,
cochrmi01,1934,0,NLS193407100,DET,AL,1.0,
dykesji01,1934,0,NLS193407100,CHA,AL,0.0,
ferreri01,1934,0,NLS193407100,BOS,AL,0.0,
hardeme01,1934,0,NLS193407100,CLE,AL,1.0,
higgipi01,1934,0,NLS193407100,PHA,AL,0.0,
ruffire01,1934,0,NLS193407100,NYA,AL,1.0,
russeja01,1934,0,NLS193407100,WS1,AL,0.0,
westsa01,1934,0,NLS193407100,SLA,AL,1.0,
hubbeca01,1934,0,NLS193407100,NY1,NL,1.0,1.0
hartnga01,1934,0,NLS193407100,CHN,NL,1.0,2.0
terrybi01,1934,0,NLS193407100,NY1,NL,1.0,3.0
friscfr01,1934,0,NLS193407100,SLN,NL,1.0,4.0
traynpi01,1934,0,NLS193407100,PIT,NL,1.0,5.0
jackstr01,1934,0,NLS193407100,NY1,NL,1.0,6.0
medwijo01,1934,0,NLS193407100,SLN,NL,1.0,7.0
bergewa01,1934,0,NLS193407100,BSN,NL,1.0,8.0
cuyleki01,1934,0,NLS193407100,CHN,NL,1.0,9.0
deandi01,1934,0,NLS193407100,SLN,NL,1.0,
frankfr02,1934,0,NLS193407100,BSN,NL,1.0,
hermabi01,1934,0,NLS193407100,CHN,NL,1.0,
kleinch01,1934,0,NLS193407100,CHN,NL,1.0,
lopezal01,1934,0,NLS193407100,BRO,NL,1.0,
martipe01,1934,0,NLS193407100,SLN,NL,1.0,
moorejo02,1934,0,NLS193407100,NY1,NL,0.0,
mungova01,1934,0,NLS193407100,BRO,NL,1.0,
