player_id,year,stint,glf,gcf,grf
allisar01,1871,1,0.0,29.0,0.0
ansonca01,1871,1,1.0,0.0,0.0
armstbo01,1871,1,0.0,11.0,1.0
barkeal01,1871,1,1.0,0.0,0.0
barrofr01,1871,1,13.0,0.0,4.0
battijo01,1871,1,0.0,0.0,1.0
bealsto01,1871,1,4.0,0.0,4.0
bechtge01,1871,1,1.0,3.0,11.0
berkena01,1871,1,0.0,0.0,1.0
berryto01,1871,1,0.0,0.0,1.0
berthha01,1871,1,11.0,1.0,0.0
birdge01,1871,1,1.0,25.0,0.0
birdsda01,1871,1,0.0,0.0,27.0
burrohe01,1871,1,4.0,0.0,4.0
conefr01,1871,1,18.0,0.0,1.0
connone01,1871,1,0.0,0.0,3.0
cravebi01,1871,1,0.0,0.0,1.0
cuthbne01,1871,1,27.0,0.0,0.0
deaneha01,1871,1,6.0,0.0,0.0
donnepe01,1871,1,2.0,1.0,6.0
eggleda01,1871,1,0.0,33.0,0.0
ewellge01,1871,1,0.0,0.0,1.0
flynncl01,1871,1,0.0,0.0,8.0
foleyto01,1871,1,2.0,9.0,5.0
foranji01,1871,1,3.0,1.0,0.0
glennjo01,1871,1,1.0,0.0,25.0
gouldch01,1871,1,0.0,0.0,1.0
hallge01,1871,1,1.0,31.0,0.0
hamra01,1871,1,19.0,0.0,0.0
hastisc01,1871,1,2.0,1.0,0.0
hatfijo01,1871,1,24.0,0.0,0.0
heubege01,1871,1,0.0,0.0,16.0
highadi01,1871,1,0.0,0.0,8.0
hodesch01,1871,1,0.0,3.0,1.0
jackssa01,1871,1,0.0,1.0,0.0
johnsca01,1871,1,0.0,0.0,6.0
kellybi01,1871,1,1.0,4.0,14.0
kimbage01,1871,1,2.0,1.0,7.0
kingma01,1871,1,1.0,10.0,0.0
kingst01,1871,1,29.0,0.0,0.0
lennobi01,1871,1,0.0,0.0,1.0
leonaan01,1871,1,11.0,0.0,0.0
mackde01,1871,1,1.0,0.0,0.0
mcderjo01,1871,1,0.0,2.0,0.0
mcveyca01,1871,1,0.0,0.0,5.0
millsch01,1871,1,0.0,0.0,4.0
minched01,1871,1,9.0,0.0,0.0
nortofr01,1871,1,0.0,0.0,1.0
paborch01,1871,1,28.0,0.0,0.0
patteda01,1871,1,9.0,0.0,22.0
pikeli01,1871,1,0.0,0.0,18.0
pinkhed01,1871,1,0.0,0.0,8.0
prattal01,1871,1,5.0,0.0,2.0
sagerpo01,1871,1,4.0,0.0,0.0
senseco01,1871,1,0.0,25.0,0.0
simmojo01,1871,1,0.0,9.0,17.0
spaldal01,1871,1,0.0,9.0,0.0
stirega01,1871,1,0.0,0.0,25.0
suttoez01,1871,1,0.0,1.0,1.0
treacfr01,1871,1,25.0,0.0,0.0
whitede01,1871,1,0.0,0.0,1.0
whiteel01,1871,1,0.0,0.0,15.0
wrighha01,1871,1,0.0,30.0,0.0
yorkto01,1871,1,0.0,29.0,0.0
zettlge01,1871,1,0.0,0.0,3.0
allenha01,1872,1,4.0,3.0,2.0
allisan01,1872,1,0.0,0.0,1.0
allisar01,1872,1,0.0,17.0,2.0
allisbi01,1872,1,0.0,1.0,1.0
arnolbi01,1872,1,0.0,0.0,2.0
barre01,1872,1,8.0,0.0,0.0
bassjo01,1872,1,0.0,0.0,2.0
bealsto01,1872,1,0.0,2.0,0.0
beaveed01,1872,1,1.0,0.0,0.0
bechtge01,1872,1,13.0,0.0,37.0
bellast01,1872,1,0.0,6.0,0.0
bentlcy01,1872,1,0.0,0.0,7.0
bielaos01,1872,1,0.0,0.0,10.0
birdsda01,1872,1,4.0,0.0,4.0
boothed01,1872,1,0.0,3.0,1.0
boothed01,1872,2,6.0,0.0,8.0
boydbi01,1872,1,0.0,0.0,1.0
brainas01,1872,2,0.0,0.0,1.0
brownol01,1872,1,0.0,0.0,4.0
burrohe01,1872,1,0.0,2.0,0.0
buttefr01,1872,1,0.0,0.0,8.0
careyto01,1872,1,0.0,0.0,3.0
clappjo01,1872,1,0.0,1.0,0.0
clintji01,1872,1,0.0,8.0,3.0
coughde01,1872,1,0.0,5.0,0.0
cravebi01,1872,1,0.0,0.0,4.0
cummica01,1872,1,1.0,0.0,1.0
cuthbne01,1872,1,47.0,0.0,0.0
doschhe01,1872,1,0.0,0.0,6.0
eggleda01,1872,1,1.0,55.0,0.0
fieldge01,1872,1,1.0,0.0,4.0
fishech01,1872,1,0.0,3.0,17.0
fleetfr01,1872,1,0.0,1.0,1.0
fletcge01,1872,1,0.0,0.0,2.0
gedneco01,1872,1,0.0,9.0,0.0
gedneco01,1872,2,18.0,0.0,0.0
glennjo01,1872,1,9.0,0.0,0.0
glennjo01,1872,2,0.0,1.0,0.0
gouldch01,1872,1,0.0,0.0,2.0
hallge01,1872,1,3.0,51.0,0.0
hastisc01,1872,1,0.0,3.0,5.0
