Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,35.971153,36.682693,35.942307,36.509617,23.483156,44951700
2007-01-04,36.509617,36.538460,36.009617,36.298077,23.347090,32540300
2007-01-05,36.125000,36.307693,35.875000,36.115383,23.229588,28108200
2007-01-08,36.009617,36.221153,35.817307,36.105770,23.223402,24662200
2007-01-09,36.326923,36.528847,35.923077,36.105770,23.223402,25581200
2007-01-10,35.942307,36.163460,35.903847,36.115383,23.229588,24956400
2007-01-11,36.057693,36.500000,35.980770,36.461540,23.452238,32064900
2007-01-12,36.384617,36.538460,36.221153,36.432693,23.433691,26981700
2007-01-16,36.538460,36.778847,36.471153,36.644230,23.569744,32362900
2007-01-17,36.711540,36.807693,36.394230,36.519230,23.489338,31681300
2007-01-18,36.548077,36.701923,35.826923,36.538460,23.501709,43267100
2007-01-19,35.721153,36.057693,35.432693,35.528847,22.852316,65422200
2007-01-22,35.701923,35.894230,35.182693,35.336540,22.728638,43040000
2007-01-23,35.269230,35.326923,34.980770,35.144230,22.604935,36541400
2007-01-24,35.288460,35.336540,35.115383,35.230770,22.660603,22316800
2007-01-25,35.240383,35.288460,34.865383,34.942307,22.475060,26863400
2007-01-26,35.048077,35.144230,34.625000,34.682693,22.308065,26960700
2007-01-29,34.682693,34.951923,34.644230,34.798077,22.382288,25945400
2007-01-30,34.807693,34.942307,34.384617,34.644230,22.283333,44867700
2007-01-31,34.615383,34.826923,34.451923,34.663460,22.295704,37610800
2007-02-01,34.788460,34.846153,34.384617,34.836540,22.407026,39383600
2007-02-02,34.865383,35.000000,34.730770,34.875000,22.431770,26111400
2007-02-05,34.875000,35.076923,34.807693,34.971153,22.493610,27250100
2007-02-06,35.000000,35.038460,34.836540,34.913460,22.456505,23639200
2007-02-07,34.923077,34.951923,34.673077,34.711540,22.326624,22226500
2007-02-08,34.673077,34.673077,34.230770,34.365383,22.103970,35025300
2007-02-09,34.336540,34.461540,34.115383,34.163460,21.974098,31001100
2007-02-12,34.182693,34.500000,34.182693,34.269230,22.042131,19770700
2007-02-13,34.269230,34.519230,34.269230,34.394230,22.122530,23881500
2007-02-14,34.548077,35.096153,34.413460,35.067307,22.555456,33184400
2007-02-15,34.961540,35.067307,34.673077,34.750000,22.351366,29763500
2007-02-16,34.682693,34.711540,34.490383,34.490383,22.184380,32291300
2007-02-20,34.480770,34.740383,34.375000,34.721153,22.332815,24487400
2007-02-21,34.605770,34.711540,34.442307,34.528847,22.209112,36057100
2007-02-22,34.442307,34.500000,33.951923,34.038460,22.065756,39170300
2007-02-23,33.971153,33.990383,33.740383,33.750000,21.878752,39678200
2007-02-26,33.903847,34.019230,33.798077,33.980770,22.028355,30067000
2007-02-27,33.942307,34.317307,33.173077,33.326923,21.604498,65185600
2007-02-28,33.461540,33.730770,33.317307,33.567307,21.760323,52748000
2007-03-01,33.278847,33.865383,33.000000,33.653847,21.816423,53438800
2007-03-02,33.586540,33.798077,33.365383,33.528847,21.735395,46983900
2007-03-05,33.403847,33.625000,33.192307,33.221153,21.535927,34163300
2007-03-06,33.394230,33.500000,33.192307,33.384617,21.641890,35357400
2007-03-07,33.403847,33.413460,33.000000,33.009617,21.398790,40546600
2007-03-08,33.269230,33.307693,33.028847,33.125000,21.473591,30289400
2007-03-09,33.240383,33.307693,32.903847,33.000000,21.392555,35598900
2007-03-12,32.961540,33.298077,32.701923,33.115383,21.467358,31414800
2007-03-13,32.951923,33.057693,32.701923,32.778847,21.249195,40454000
2007-03-14,32.778847,33.076923,32.596153,32.990383,21.386324,42194000
2007-03-15,32.884617,33.346153,32.798077,33.192307,21.517223,37257700
2007-03-16,33.269230,33.500000,32.932693,33.038460,21.417490,46589100
2007-03-19,33.173077,33.336540,33.105770,33.336540,21.610722,27590300
2007-03-20,33.298077,33.509617,33.173077,33.432693,21.673061,29394900
2007-03-21,33.413460,34.326923,33.394230,34.115383,22.115612,52451100
2007-03-22,34.076923,34.461540,34.038460,34.432693,22.321312,34971200
2007-03-23,34.413460,34.528847,34.230770,34.442307,22.327551,34802300
2007-03-26,34.471153,34.615383,34.076923,34.615383,22.439741,30862300
2007-03-27,34.423077,34.519230,34.288460,34.413460,22.308846,30864300
2007-03-28,34.326923,34.355770,33.942307,34.182693,22.159250,43078300
2007-03-29,34.230770,34.355770,33.980770,34.182693,22.159250,28570600
2007-03-30,34.192307,34.211540,33.653847,34.000000,22.040821,35536900
2007-04-02,34.000000,34.163460,33.759617,33.932693,21.997185,24436000
2007-04-03,34.067307,34.230770,33.817307,33.961540,22.015888,32204500
2007-04-04,34.009617,34.019230,33.721153,33.759617,21.884991,36085200
2007-04-05,33.778847,33.836540,33.596153,33.673077,21.828888,27690300
2007-04-09,33.750000,33.798077,33.413460,33.442307,21.679291,27514100
2007-04-10,33.461540,33.644230,33.413460,33.538460,21.741625,30450100
2007-04-11,33.653847,33.846153,33.519230,33.605770,21.785252,31695200
2007-04-12,33.807693,33.884617,33.519230,33.826923,21.928619,32025400
2007-04-13,34.230770,34.230770,33.894230,34.019230,22.053284,37068600
2007-04-16,34.134617,34.230770,33.846153,34.000000,22.040821,35156500
2007-04-17,34.009617,34.009617,33.711540,33.846153,21.941082,39915500
2007-04-18,33.807693,33.894230,33.557693,33.778847,21.897457,39510700
2007-04-19,33.701923,34.019230,33.557693,33.653847,21.816423,42063600
2007-04-20,33.875000,33.884617,33.586540,33.778847,21.897457,60714200
2007-04-23,33.778847,33.798077,33.442307,33.461540,21.691759,36562500
2007-04-24,33.461540,33.596153,33.221153,33.423077,21.666828,38925400
2007-04-25,33.634617,34.086540,33.567307,34.048077,22.071985,46825100
2007-04-26,34.096153,34.471153,34.096153,34.461540,22.340015,48011600
