COMPANY_ID,COMPANY_NAME,ENTITY_LEVEL,EIN,CIK,LEI,PERMID_COMPANY_ID,PRIMARY_TICKER,PRIMARY_EXCHANGE_CODE,PRIMARY_EXCHANGE_NAME,GLOBAL_TICKERS
72fad207b52bcfa17c208a98a907a360,LABRADOR IRON MINES HOLDINGS LTD,Corporate,,0001488158,,4295862680,LBRMF,PNK,PNK OTC MARKETS INC,"[
  ""L2N"",
  ""LBRMF"",
  ""LIR""
]"
12817c92d0fda8a39314179ff8060a05,WORKSPORT LTD,Corporate,650782227,0001096275,,4295900232,WKSP,NAS,NASDAQ CAPITAL MARKET,"[
  ""WKSP""
]"
66f82a949fb6565a846f20e261b23c62,"TSS, INC.",Corporate,202027651,0001320760,,4295910573,TSSI,PNK,PNK OTC MARKETS INC,"[
  ""TSSI""
]"
892200080f2e8ab0ba815196b8f09d3a,"PRECIPIO, INC.",Corporate,911789357,0001043961,"[
  ""54930079ULTBRXUQNR89""
]",4295916052,PRPO,NAS,NASDAQ CAPITAL MARKET,"[
  ""PRPO"",
  ""TBIO"",
  ""TGK"",
  ""TGKQ""
]"
e9f110196ecf2c2d3c8dbfd8d68df1de,"CAM GROUP, INC.",Corporate,372040523,0001419559,,4297092887,CAMG,PNK,PNK OTC MARKETS INC,"[
  ""CAMG""
]"
57788911c8064309afc8e158cf9afb6c,GAINES AS,Corporate,,,,5077934406,,,,
da9cb323899bc7e79cfff7867dd8962b,WAGGI BEE OU,Corporate,,,,5081494581,,,,
3f44928687ab6f410bc940654571ef9f,FALCONNE B.V.,Corporate,,,,5086578480,,,,
0198c2372ab56b6e47c7db9896adbdc3,SHARMA ORTHOPEDIC INDIA PVT LTD,Corporate,,,,5083149668,,,,
81176bffe72ae19a0636b0abc3a14a13,MAC CARVILL DISTRIBUTION IRL LTD,Corporate,,,,5071534183,,,,
20434aa539b84dd8a697b26c0c4289ed,FARINOLE VENTURES OU,Corporate,,,,5083858265,,,,
67de7254f6f05398400e24433b1c2fc2,PRAIRIE COURT LLC,Corporate,,,,5074549861,,,,
caea2271e5289d23350ee1f357e21517,INCODE SP Z O O,Corporate,,,,5083347642,,,,
bada9ade7ead5b80e740c1b6b355b6ea,SLY MUSIC HOLDING APS,Corporate,,,,5079890305,,,,
aedabaed85e62ca98bf25bb9472e7bd8,JENPERSONAL HOLDING GMBH,Corporate,,,,5073348715,,,,
6b8ffcc8a1c4c73c2aa210ee8464cbe7,RAMAPRO OU,Corporate,,,,5081325106,,,,
456bc5226331078e79141e2088b9ebce,YANTAI HAOXIANG TEXTILE CO LTD,Corporate,,,,5082495282,,,,
322481934a3b7a8664a5ce3e833866ff,NARAYANI TREXIM PRIVATE LIMITED,Corporate,,,,5086707679,,,,
4c92bf3f4524c4eb4a831b1b12966e9f,VB TIC IX OWNER LLC,Corporate,,,,5082098119,,,,
53fcb28dd03a45c65c5bc5ff1b045caf,TENGZHOU SUN BAOHUA MEDICAL SERVICE CO LTD,Corporate,,,,5083685577,,,,
0678785bd5a50ce385ff3140488bdd96,NUTRIPHARM SARL,Corporate,,,,5086608949,,,,
17a00122ba9771874e992d123aa6b235,SHANGHAI BAOSHAN HUAHUI MICROFINANCE CO LTD,Corporate,,,,5073360063,,,,
b3834df02eef3d4f90405d591c50691e,FEMBA TEKNOLOJI IC VE DIS TICARET SANAYI SIRKETI LTD,Corporate,,,,5082495700,,,,
40128f4a7d6bc1e2bf4c70eeb5828e3f,ADIEMME SRL,Corporate,,,,5081346419,,,,
60fd09427e37cd2290c3291d87c0187e,LARAS VERMOGENSVERWALTUNG GMBH,Corporate,,,,5083945114,,,,
1257ab4b2a5b0e417f1f1b1ebfd72c77,JOHAN BELIN KOMMUNIKATION AB,Corporate,,,,5082092279,,,,
139d55a52bf1785db7b8323671615961,SCHWENZER ENERGIE GMBH,Corporate,,,,5082451930,,,,
