player_name,weight,height,player_api_id,birthday,id,player_fifa_api_id
Aaron Appindangoye,187,182.88,505942,1992-02-29 00:00:00,1,218353
Aaron Cresswell,146,170.18,155782,1989-12-15 00:00:00,2,189615
Aaron Doran,163,170.18,162549,1991-05-13 00:00:00,3,186170
Aaron Galindo,198,182.88,30572,1982-05-08 00:00:00,4,140161
Aaron Hughes,154,182.88,23780,1979-11-08 00:00:00,5,17725
Aaron Hunt,161,182.88,27316,1986-09-04 00:00:00,6,158138
Aaron Kuhl,146,172.72,564793,1996-01-30 00:00:00,7,221280
Aaron Lennon,139,165.1,30895,1987-04-16 00:00:00,8,152747
Aaron Lennox,181,190.5,528212,1993-02-19 00:00:00,9,206592
Aaron Meijers,170,175.26,101042,1987-10-28 00:00:00,10,188621
Aaron Mokoena,181,182.88,23889,1980-11-25 00:00:00,11,47189
Aaron Mooy,150,175.26,231592,1990-09-15 00:00:00,12,194958
Aaron Muirhead,168,187.96,163222,1990-08-30 00:00:00,13,213568
Aaron Niguez,143,170.18,40719,1989-04-26 00:00:00,14,183853
Aaron Ramsey,154,177.8,75489,1990-12-26 00:00:00,15,186561
Aaron Splaine,163,172.72,597948,1996-10-13 00:00:00,16,226014
Aaron Taylor-Sinclair,176,182.88,161644,1991-04-08 00:00:00,17,213569
Aaron Wilbraham,159,190.5,23499,1979-10-21 00:00:00,18,2335
Aatif Chahechouhe,150,175.26,120919,1986-07-02 00:00:00,19,187939
Abasse Ba,185,187.96,46447,1976-07-12 00:00:00,20,156626
Abdelaziz Barrada,161,177.8,167027,1989-06-19 00:00:00,21,192274
Abdelfettah Boukhriss,161,185.42,245653,1986-10-22 00:00:00,22,202425
Abdelhamid El Kaoutari,161,180.34,128456,1990-03-17 00:00:00,23,188145
Abdelkader Ghezzal,172,182.88,42664,1984-12-05 00:00:00,24,178063
Abdellah Zoubir,161,180.34,425950,1991-12-05 00:00:00,25,212934
Abdelmajid Oulmers,143,172.72,38423,1978-09-12 00:00:00,26,52782
Abdelmalek Cherrad,165,185.42,3264,1981-01-14 00:00:00,27,51868
Abdelmalek El Hasnaoui,159,180.34,467485,1994-02-09 00:00:00,28,209399
Abdelouahed Chakhsi,170,182.88,306735,1986-10-01 00:00:00,29,210504
Abderrazak Jadid,157,177.8,41659,1983-06-01 00:00:00,30,149241
Abdeslam Ouaddou,181,190.5,31684,1978-11-01 00:00:00,31,33022
Abdessalam Benjelloun,179,187.96,32637,1985-01-28 00:00:00,32,177295
Abdou Diallo,159,182.88,563215,1996-05-04 00:00:00,33,225711
Abdou Traore,174,180.34,41093,1988-01-17 00:00:00,34,187048
Abdoul Ba,212,200.66,564712,1994-02-08 00:00:00,35,225050
Abdoul Karim Yoda,161,182.88,67334,1988-10-25 00:00:00,36,188232
Abdoul Razzagui Camara,157,177.8,173955,1990-02-20 00:00:00,37,193953
Abdoulay Konko,157,182.88,39562,1984-03-09 00:00:00,38,161999
Abdoulaye Ba,174,198.12,191784,1991-01-01 00:00:00,39,204826
Abdoulaye Bamba,150,182.88,210400,1990-04-25 00:00:00,40,199313
Abdoulaye Diaby,154,172.72,201915,1991-05-21 00:00:00,41,202330
"Abdoulaye Diallo Sadio,22",168,182.88,194479,1990-12-28 00:00:00,42,204171
Abdoulaye Diallo,174,187.96,189181,1992-03-30 00:00:00,43,197233
Abdoulaye Doucoure,165,182.88,352887,1993-01-01 00:00:00,44,208135
Abdoulaye Faye,218,187.96,40005,1978-02-26 00:00:00,45,100329
Abdoulaye Keita,165,175.26,409003,1994-01-05 00:00:00,46,212280
Abdoulaye Meite,181,185.42,37280,1980-10-06 00:00:00,47,41745
Abdoulaye Toure,170,187.96,439366,1994-03-03 00:00:00,48,210450
