driver_age_raw,state,fine_grained_location,is_arrested,district,driver_race,id,driver_race_raw,search_type_raw,stop_outcome,police_department,county_fips,driver_gender,county_name,location_raw,driver_age,search_type,stop_date,out_of_state,drugs_related_stop,violation_raw,contraband_found,stop_duration,violation,stop_time,search_conducted
1966.0,RI,,False,Zone K3,White,RI-2006-11029,W,,Citation,300,,M,,Zone K3,40.0,,2006-03-09,False,False,Registration Violation,False,0-15 Min,Registration/plates,11:25,False
1985.0,RI,,False,Zone K2,White,RI-2006-02642,W,,Citation,900,,F,,Zone K2,21.0,,2006-01-15,False,False,Speeding,False,0-15 Min,Speeding,16:35,False
1937.0,RI,,False,Zone K3,White,RI-2005-13624,W,,Citation,300,,M,,Zone K3,68.0,,2005-12-29,False,False,Other Traffic Violation,False,0-15 Min,Moving violation,08:25,False
1982.0,RI,,False,Zone X3,White,RI-2005-07018,W,,Citation,200,,M,,Zone X3,23.0,,2005-11-13,False,False,Speeding,False,16-30 Min,Speeding,01:30,False
1986.0,RI,,False,Zone K3,Black,RI-2006-08380,B,,Citation,300,,F,,Zone K3,20.0,,2006-02-19,False,False,Equipment/Inspection Violation,False,0-15 Min,Equipment,16:00,False
1987.0,RI,,False,Zone X4,White,RI-2005-04661,W,,Citation,500,,M,,Zone X4,18.0,,2005-10-31,True,False,Speeding,False,0-15 Min,Speeding,10:40,False
1981.0,RI,,True,Zone K3,White,RI-2005-00705,W,Incident to Arrest,Arrest Passenger,300,,M,,Zone K3,24.0,Incident to Arrest,2005-10-04,True,False,Speeding,False,30+ Min,Speeding,17:00,True
1985.0,RI,,False,Zone K3,White,RI-2005-03639,W,,Citation,300,,F,,Zone K3,20.0,,2005-10-24,False,False,Speeding,False,0-15 Min,Speeding,23:30,False
1962.0,RI,,False,Zone K3,White,RI-2006-16809,W,,Citation,300,,F,,Zone K3,44.0,,2006-04-11,False,False,Speeding,False,0-15 Min,Speeding,18:40,False
1972.0,RI,,True,Zone K3,Asian,RI-2006-00604,I,"Incident to Arrest,Inventory/Tow",Arrest Driver,300,,F,,Zone K3,34.0,"Incident to Arrest,Inventory",2006-01-05,False,False,Speeding,True,30+ Min,Speeding,10:30,True
