,id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold
0,259480018,Túi Xách Nữ Da Mềm Thời Trang Du Lịch Phong Cách Hàn Quốc - TDC150,       Mô Tả Sản Phẩm:Túi Xách Nữ Da Mềm Thời Trang Du Lịch Phong Cách Hàn Quốc - TDC150   ( Phụ kiện sẽ về theo từng đợt lô về khách chú ý giúp shop nha)   - Kích thước: szcm   - Chất liệu: Da...,85000,85000,dropship,OEM,0,0.0,0,False,Túi Xinh Store 2022,115,7,0,False,Root,0
1,260801038,Túi Xách Đeo Vai  Kẹp Nách Đi Học Đi Chơi Thời Trang Nữ Cá Tính - TDC170,       Mô Tả Sản Phẩm:Túi Xách Đeo Vai Kẹp Nách Đi Học Đi Chơi Thời Trang Nữ Cá Tính - TDC170   ( Phụ kiện sẽ về theo từng đợt lô về khách chú ý giúp shop nha)   - Kích thước: szcm   - Chất liệ...,89000,89000,dropship,OEM,0,0.0,0,False,Bảo Khánh Store,112,9,2382,False,Root,0
2,260800735,Túi Đeo Chéo Nữ Thời Trang Đi Làm Dự Tiệc Phong Cách Hàng Hiệu Cao Cấp - TDC171,       Mô Tả Sản Phẩm:Túi Đeo Chéo Nữ Thời Trang Đi Làm Dự Tiệc Phong Cách Hàng Hiệu Cao Cấp - TDC171   ( Phụ kiện sẽ về theo từng đợt lô về khách chú ý giúp shop nha)   - Kích thước: szcm   - ...,89000,89000,dropship,OEM,0,0.0,0,False,Bảo Khánh Store,112,7,2382,False,Root,0
3,260799998,"Túi Đeo Chéo Nữ Chất Da Xịn Túi Du Lịch Đi Làm Đi Học, Túi kẹp nách thời trang  lotiba - TDC271","       SHOP LOTIBA   Mô Tả Sản Phẩm:Túi Đeo Chéo Nữ Chất Da Xịn Túi Du Lịch Đi Làm Đi Học, Túi kẹp nách thời trang lotiba - TDC271   ( Phụ kiện sẽ về theo từng đợt lô về khách chú ý giúp shop nh...",89000,89000,dropship,OEM,0,0.0,0,False,Bảo Khánh Store,112,3,2382,False,Root,0
4,259481422,Túi Xách Đeo Vai Túi Cầm Tay Nữ Đi Chơi Dự Tiệc Thời Trang Cao Cấp - TDC521,"       Mô Tả Sản Phẩm:Túi Xách Đeo Vai Túi Cầm Tay Nữ Đi Chơi Dự Tiệc Thời Trang Cao Cấp - TDC521   - Kích thước: szcm   - Chất liệu: Da PU cao cấp, mềm, bóng, không nhăn, dễ lau chùi và bảo quả...",89000,89000,dropship,OEM,0,0.0,0,False,Túi Xinh Store 2022,115,9,0,False,Root,0
5,174511611,Túi nữ thời trang Đồ Da Thành Long TLG 153TU 4(đỏ),       Chất liệu da bền đẹp   An toàn cho người dùng   Kiểu dáng thời trang   Dễ dàng phối trang phục   Kích thước 18x7x15 cm   * HƯỚNG DẪN BẢO QUẢN: 1. Không để sản phẩm da trên sàn nhà.Trán...,95000,95000,dropship,OEM,0,0.0,0,False,Túi xách tlg,517,4,2543,False,Root,0
6,206108955,Túi xách đeo chéo nữ cao cấp sang trọng đi chơi phong cách thời trang hàn quốc DC293,"       Túi xách đeo chéo nữ cao cấp sang trọng đi chơi phong cách thời trang hàn quốc DC293   Mẫu TÚI ĐEO CHÉO NỮ  là một sự lựa chọn tốt dành cho bạn, với thiết kế hiện đại, màu sắc tươi tắn có ...",89000,89000,dropship,OEM,0,0.0,0,False,Túi xách Giahung,297,10,2382,False,Root,0
7,246162941,Túi Đeo Chéo Vải Canvas Miệng Rút Chong Ya Siêu Dễ Thương Đi Học Đi chơi Phong Cách Nhật Bản,"Sản phẩm được chế tác bằng chất liệu vải canvas cao cấp, bền bỉ cùng những đường may tỉ mỉ và chắc chắn, không chỉ mang đến độ bền mà còn mang đến tính thẩm mỹ, tinh tế cao.Túi được thiết kế trẻ trung...",31900,31900,dropship,OEM,0,0.0,0,False,Everza,185,2,0,False,Túi đeo chéo dạo phố,0
8,250479040,Túi nữ đeo chéo đẹp sành điệu phong cách thời trang màu sắc ngẫu nhiên,"       Chất liệu được chọn lọc tỉ mỉ và thời trang.   Đường may chắc chắn , tỉ mỹ, tinh tế.   Dây túi được làm bằng chất liệu của túi,độ dài ngắn có thể tăng giảm tùy ý   Có nhiều màu cho bạn l...",88000,88000,dropship,OEM,0,0.0,0,False,Shop Thời Trang Hana,156,8,0,False,Root,8
9,219461707,Túi xách nữ màu đỏ đô da mềm,"Túi xách nữ màu đỏ đô da mềmXuất xứ: Quảng Châu - TQKiểu dáng: túi đeo vai, túi đeo chéoChất liệu: da PUMàu sắc: đỏKích cỡ: ngang đáy túi dài 25cm - ngang miệng túi dài 22cm, cao 14cm, rộng 8cmC...",85000,85000,dropship,OEM,0,0.0,0,False,Shop Chi Túi xách nam nữ,210,7,0,False,Túi đeo chéo dạo phố,0
