id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight
0, f, 22, nan, df, a,161.0
1,505942,Aaron Appindangoye,218353,1992-02-29,182.88,187.0
2,155782,Aaron Cresswell,189615,1989-12-15,170.18,146.0
3,162549,Aaron Doran,186170,1991-05-13,170.18,163.0
4,30572,Aaron Galindo,140161,1982-05-08,182.88,198.0
5,23780,Aaron Hughes,17725,1979-11-08,182.88,154.0
6,27316,Aaron Hunt,158138,1986-09-04,182.88,161.0
7,564793,Aaron Kuhl,221280,1996-01-30,172.72,146.0
8,30895,Aaron Lennon,152747,1987-04-16,165.1,139.0
9,528212,Aaron Lennox,206592,1993-02-19,190.5,181.0
10,101042,Aaron Meijers,188621,1987-10-28,175.26,170.0
11,23889,Aaron Mokoena,47189,1980-11-25,182.88,181.0
12,231592,Aaron Mooy,194958,1990-09-15,175.26,150.0
13,163222,Aaron Muirhead,213568,1990-08-30,187.96,168.0
14,40719,Aaron Niguez,183853,1989-04-26,170.18,143.0
15,75489,Aaron Ramsey,186561,1990-12-26,177.8,154.0
16,597948,Aaron Splaine,226014,1996-10-13,172.72,163.0
17,161644,Aaron Taylor-Sinclair,213569,1991-04-08,182.88,176.0
18,23499,Aaron Wilbraham,2335,1979-10-21,190.5,159.0
19,120919,Aatif Chahechouhe,187939,1986-07-02,175.26,150.0
20,46447,Abasse Ba,156626,1976-07-12,187.96,185.0
21,167027,Abdelaziz Barrada,192274,1989-06-19,177.8,161.0
22,245653,Abdelfettah Boukhriss,202425,1986-10-22,185.42,161.0
23,128456,Abdelhamid El Kaoutari,188145,1990-03-17,180.34,161.0
24,42664,Abdelkader Ghezzal,178063,1984-12-05,182.88,172.0
25,425950,Abdellah Zoubir,212934,1991-12-05,180.34,161.0
26,38423,Abdelmajid Oulmers,52782,1978-09-12,172.72,143.0
27,3264,Abdelmalek Cherrad,51868,1981-01-14,185.42,165.0
28,467485,Abdelmalek El Hasnaoui,209399,1994-02-09,180.34,159.0
29,306735,Abdelouahed Chakhsi,210504,1986-10-01,182.88,170.0
30,41659,Abderrazak Jadid,149241,1983-06-01,177.8,157.0
31,31684,Abdeslam Ouaddou,33022,1978-11-01,190.5,181.0
32,32637,Abdessalam Benjelloun,177295,1985-01-28,187.96,179.0
