id,station_name,latitude,longitude
3186,Grove St PATH,40.71958611647166,-74.04311746358871
3209,Brunswick St,40.7241765,-74.0506564
3195,Sip Ave,40.73074262530658,-74.06378388404846
3211,Newark Ave,40.72152515,-74.046304543
3187,Warren St,40.7211236,-74.03805095
3183,Exchange Place,40.7162469,-74.0334588
3213,Van Vorst Park,40.71848892,-74.047726625
3193,Lincoln Park,40.7246050998869,-74.07840594649315
3194,McGinley Square,40.7253399253558,-74.06762212514877
3202,Newport PATH,40.7272235,-74.0337589
3196,Riverview Park,40.7443187,-74.0439909
3214,Essex Light Rail,40.7127742,-74.0364857
3207,Oakland Ave,40.7376037,-74.0524783
3199,Newport Pkwy,40.7287448,-74.0321082
3203,Hamilton Park,40.727595966,-74.044247311
3210,Pershing Field,40.742677141,-74.051788633
3190,Garfield Ave Station,40.7104670233797,-74.07003879547119
3185,City Hall,40.7177325,-74.043845
3197,North St,40.752559,-74.044725
3192,Liberty Light Rail,40.7112423,-74.0557013
3212,Christ Hospital,40.734785818,-74.050443636
3225,Baldwin at Montgomery,40.7236589,-74.0641943
3215,Central Ave,40.7467299,-74.0492509
3184,Paulus Hook,40.7141454,-74.0335519
3220,5 Corners Library,40.73496102000952,-74.0595030784607
