id,rec_date,avg_wind,prcp,snow_amt,snow_depth,tavg,tmax,tmin,rain,snow
1,2016-01-01,12.75,0.0,0.0,0.0,41,43,34,False,False
2,2016-01-02,9.4,0.0,0.0,0.0,36,42,30,False,False
3,2016-01-03,10.29,0.0,0.0,0.0,37,47,28,False,False
4,2016-01-04,17.22,0.0,0.0,0.0,32,35,14,False,False
5,2016-01-05,9.84,0.0,0.0,0.0,19,31,10,False,False
6,2016-01-06,5.37,0.0,0.0,0.0,28,42,15,False,False
7,2016-01-07,3.36,0.0,0.0,0.0,35,46,24,False,False
8,2016-01-08,8.05,0.0,0.0,0.0,38,45,31,False,False
9,2016-01-09,6.71,0.01,0.0,0.0,44,48,38,True,False
10,2016-01-10,15.43,1.77,0.0,0.0,53,65,39,True,False
11,2016-01-11,16.33,0.0,0.0,0.0,36,39,24,False,False
12,2016-01-12,8.72,0.01,0.0,0.0,31,44,22,True,False
13,2016-01-13,18.12,0.0,0.0,0.0,27,31,22,False,False
14,2016-01-14,8.05,0.0,0.0,0.0,28,39,23,False,False
15,2016-01-15,3.8,0.0,0.0,0.0,38,49,29,False,False
16,2016-01-16,11.63,0.26,0.0,0.0,47,55,42,True,False
17,2016-01-17,9.4,0.07,0.7,0.0,38,42,29,True,True
18,2016-01-18,17.22,0.03,0.5,1.2,27,30,18,True,True
19,2016-01-19,19.01,0.0,0.0,0.0,21,31,16,False,False
20,2016-01-20,9.4,0.0,0.0,0.0,31,39,27,False,False
21,2016-01-21,13.42,0.0,0.0,0.0,32,38,26,False,False
22,2016-01-22,10.29,0.03,0.3,0.0,26,30,20,True,True
23,2016-01-23,22.82,1.81,24.0,7.1,26,27,23,True,True
24,2016-01-24,9.4,0.01,0.2,20.1,26,36,17,True,True
25,2016-01-25,2.46,0.0,0.0,18.9,29,37,18,False,False
26,2016-01-26,5.82,0.0,0.0,16.9,35,46,25,False,False
27,2016-01-27,9.62,0.01,0.0,14.2,42,45,32,True,False
28,2016-01-28,4.03,0.0,0.0,9.8,34,42,24,False,False
29,2016-01-29,10.29,0.0,0.0,9.1,36,41,30,False,False
30,2016-01-30,8.28,0.0,0.0,7.9,32,39,25,False,False
31,2016-01-31,4.92,0.0,0.0,7.1,39,54,30,False,False
32,2016-02-01,8.05,0.02,0.0,3.9,45,58,36,True,False
33,2016-02-02,3.8,0.0,0.0,1.2,43,51,32,False,False
34,2016-02-03,6.49,0.61,0.0,0.0,48,58,39,True,False
35,2016-02-04,9.4,0.01,0.0,0.0,54,56,42,True,False
36,2016-02-05,12.53,0.48,2.8,1.2,38,43,31,True,True
37,2016-02-06,7.16,0.0,0.0,1.2,33,41,25,False,False
38,2016-02-07,4.7,0.0,0.0,0.0,37,47,28,False,False
39,2016-02-08,12.75,0.02,0.2,0.0,37,40,29,True,True
40,2016-02-09,6.04,0.02,0.2,0.0,31,36,27,True,True
41,2016-02-10,11.63,0.02,0.3,0.0,35,42,31,True,True
42,2016-02-11,19.91,0.0,0.2,0.0,27,31,19,False,True
43,2016-02-12,9.17,0.0,0.0,0.0,21,27,15,False,False
44,2016-02-13,19.69,0.0,0.0,0.0,21,24,7,False,False
45,2016-02-14,11.63,0.0,0.0,0.0,8,18,0,False,False
46,2016-02-15,6.93,0.42,1.5,0.0,18,33,10,True,True
47,2016-02-16,10.51,0.99,0.0,1.2,43,55,33,True,False
48,2016-02-17,9.62,0.0,0.0,0.0,39,41,32,False,False
49,2016-02-18,13.42,0.0,0.0,0.0,33,38,27,False,False
50,2016-02-19,6.93,0.0,0.0,0.0,29,38,19,False,False
51,2016-02-20,11.86,0.0,0.0,0.0,47,64,38,False,False
52,2016-02-21,5.59,0.08,0.0,0.0,51,56,38,True,False
53,2016-02-22,6.93,0.0,0.0,0.0,45,54,35,False,False
54,2016-02-23,12.75,0.27,0.0,0.0,39,42,34,True,False
55,2016-02-24,11.41,1.02,0.0,0.0,42,63,36,True,False
56,2016-02-25,18.57,0.05,0.0,0.0,54,64,35,True,False
57,2016-02-26,17.9,0.0,0.0,0.0,36,39,28,False,False
58,2016-02-27,9.62,0.0,0.0,0.0,33,43,24,False,False
59,2016-02-28,12.3,0.0,0.0,0.0,45,62,35,False,False
60,2016-02-29,13.65,0.03,0.0,0.0,51,62,42,True,False
61,2016-03-01,9.4,0.0,0.0,0.0,45,53,39,False,False
62,2016-03-02,19.01,0.12,0.0,0.0,47,57,29,True,False
63,2016-03-03,9.4,0.0,0.0,0.0,32,38,26,False,False
64,2016-03-04,11.18,0.12,1.4,1.2,33,40,29,True,True
65,2016-03-05,5.82,0.0,0.0,0.0,35,43,28,False,False
66,2016-03-06,4.92,0.0,0.0,0.0,36,47,27,False,False
67,2016-03-07,10.51,0.0,0.0,0.0,43,63,31,False,False
68,2016-03-08,3.8,0.0,0.0,0.0,54,65,45,False,False
69,2016-03-09,6.93,0.0,0.0,0.0,58,82,42,False,False
70,2016-03-10,8.5,0.0,0.0,0.0,70,81,59,False,False
71,2016-03-11,11.41,0.03,0.0,0.0,64,69,48,True,False
72,2016-03-12,8.05,0.0,0.0,0.0,50,60,38,False,False
73,2016-03-13,6.49,0.0,0.0,0.0,56,62,49,False,False
74,2016-03-14,14.32,0.52,0.0,0.0,48,52,41,True,False
75,2016-03-15,9.4,0.0,0.0,0.0,48,57,45,False,False
76,2016-03-16,3.58,0.03,0.0,0.0,54,64,46,True,False
77,2016-03-17,7.83,0.0,0.0,0.0,53,66,44,False,False
78,2016-03-18,14.76,0.0,0.0,0.0,52,62,41,False,False
79,2016-03-19,6.71,0.0,0.0,0.0,43,47,35,False,False
80,2016-03-20,10.96,0.07,0.2,0.0,39,44,33,True,True
81,2016-03-21,14.32,0.0,0.0,0.0,40,53,33,False,False
82,2016-03-22,12.08,0.0,0.0,0.0,44,58,34,False,False
83,2016-03-23,10.29,0.0,0.0,0.0,57,74,45,False,False
84,2016-03-24,9.62,0.0,0.0,0.0,52,56,44,False,False
85,2016-03-25,11.41,0.11,0.0,0.0,57,74,46,True,False
86,2016-03-26,9.17,0.0,0.0,0.0,47,54,38,False,False
87,2016-03-27,6.93,0.0,0.0,0.0,46,51,44,False,False
88,2016-03-28,15.21,0.38,0.0,0.0,48,65,43,True,False
89,2016-03-29,21.03,0.0,0.0,0.0,51,56,40,False,False
90,2016-03-30,8.5,0.0,0.0,0.0,45,55,33,False,False
91,2016-03-31,13.87,0.0,0.0,0.0,58,74,46,False,False
92,2016-04-01,13.42,0.0,0.0,0.0,70,80,62,False,False
93,2016-04-02,9.84,0.16,0.0,0.0,58,64,42,True,False
94,2016-04-03,19.91,0.03,0.0,0.0,43,45,35,True,False
95,2016-04-04,10.51,0.44,0.0,0.0,41,44,30,True,False
96,2016-04-05,16.33,0.0,0.0,0.0,34,44,26,False,False
97,2016-04-06,8.5,0.0,0.0,0.0,38,49,27,False,False
98,2016-04-07,12.53,0.09,0.0,0.0,53,61,46,True,False
99,2016-04-08,14.09,0.0,0.0,0.0,48,50,38,False,False
100,2016-04-09,10.74,0.09,0.0,0.0,40,44,32,True,False
